cluster_label,0_stdev,1_stdev,0_mean,1_mean
0,0.17886264045750225,0.17902622196635243,-4.04926677757454,-4.05019935264623
1,0.26360151601138376,0.26320279887854275,1.537127912678744,1.5325419309488395
2,0.29115017046606595,0.29138711429963393,8.626654849909567,8.62302567850658
3,0.1986633156521959,0.19893272514755486,-0.5171845854457161,-0.5205378756804908
4,0.16279709679342744,0.16131531942911906,-2.5565436229002723,-2.5567577380200923
5,0.16949120904327636,0.1691472443829119,0.46498143424125404,0.46388259079628746
6,0.3047587889663752,0.30485531806986915,10.256131145888268,10.256799672722801
7,0.16747525706114272,0.1679897779198624,-1.601234600861861,-1.6023740198560157
8,0.21860261520547683,0.2191650704517336,3.3799130004699367,3.3785731805572055
9,0.3061067765002156,0.3043772521262341,7.837996470330462,7.8331441594964515
10,0.16604606205111488,0.16658989015718192,-3.521635999789032,-3.5224414070201187
11,0.23918206081923354,0.23925650110299024,-4.724186975715798,-4.724259626286755
12,0.33107828437510267,0.32981936542707657,4.095151879091644,4.094222800573337
13,0.4200851924361208,0.42339868473643133,11.268087378840466,11.269745571975031
14,1.5975666465644665,1.7257744723710275,8.096591844482719,1.8201501955751298
15,0.28463509190279745,0.28359424954315965,9.42740480412611,9.427632053642485
16,0.17265991651929563,0.17257047725790692,0.012352767008185411,0.010254344446649483
17,0.35251483718343374,0.3557741902830325,6.971054635616036,6.959756298617169
18,0.1895543361711098,0.18961900458338518,0.9910782002698749,0.9883494666852728
19,1.6481833256324419,1.4080566085088881,2.0969849425673184,8.012341478839712
20,0.16189718159434305,0.16177492870657778,-2.0815155207668448,-2.0845339405008625
21,0.1588713974488385,0.15940727759576495,-3.027548877857127,-3.025333970273352
22,0.3041421594207069,0.30626963358321485,2.633177284403003,2.6281738312052587
23,0.46848888206517786,0.46723512251802657,5.641334123303811,5.626468169815607
24,0.1875474840302592,0.1875936338858432,-1.0943922075455812,-1.094992652527517
