eigenvector,lo_c_dp1,f_c_dp1,f_c_dp2,f_c_dp5,pe_c_dt1,g_c_dt1,g_c_dt2,lo_c_dt5,c_dt5_1,c_dt5_2,c_dt5_3,c_dt5_4,c_dt5_5,c_dt5_6,sc_c_pct_e1,pe_c_pos_e1,f_c_pos_e2,f_c_pos_e1,c_c_t5_1,c_c_t5_2,c_c_t5_3,t5_s1,pe_p1,f_cmd1,pe_t1,perf_pow,lo_p1,b_p1,g_t1,t5_6,g_t5,g_t4,v_d_1b,g_cur1,g_cur4,g_cur3,lo_t9,f_cmd2,lo_t6,t5_5,t5_2,t5_3,t5_1,ngp,nt5,pcd,v_acc1,sc_pct2,g_pow1,pe_for1,sc_pct1,pe_cmd1,pe_pos1,g_cur2,t1_1,t5_4,f_p2,t5_a,lo_dp1,v_d_3b,f_p7,f_p1,v_d_2b,lo_t5,g_t2,f_t1,g_t3,g_pct1,f_pos1
0,0.057157414306250404,0.001766657349159706,0.005387281291383439,0.06255633960042695,0.14862278664443937,0.16404059514320074,0.13699183919018768,0.0699143150094337,0.10434123678632198,0.004997537706607715,0.05081622659993399,0.0036925586418205497,0.0631390585809447,0.006505678321079841,0.010939353400416546,0.0664879727894672,0.022180830687025352,0.021319175266606965,0.223798301550277,0.09847014003742388,0.08624520752704236,0.09847014003517797,0.135764962051634,0.16083709039925323,0.18205962839692694,0.20606377367331344,0.05044662435854997,0.04255279923987665,0.07306247453817513,0.2155368668641471,0.19851957305294668,0.1964582313624738,0.040727942799410485,0.13198409013942403,0.13307911099110467,0.1326242135947743,0.02768033259794815,0.17973191214640646,0.09345331833791383,0.22175846716444542,0.22207347865257335,0.2158820547913429,0.2273492407570071,0.02078060375306745,0.0006820740910307135,0.10200436993181483,0.12998731992565854,0.009840618509278955,0.04505732321922056,0.01744613755950658,0.05115794099562379,0.01908577402395668,0.019598227531740668,0.13257775962189475,0.08879050452248057,0.2269776814805831,0.006041356065364421,0.22379461900154704,0.07734980076641043,0.06684663919691261,0.004384616181464681,0.00705111391857108,0.13329400452292686,0.02578757779966053,0.050191159099948,0.009617645415406759,0.19454246146534515,0.13179111689040116,0.16047422937791478
1,0.01236287218881587,0.01749142267815503,0.02311058130287688,0.1980207825977784,0.06782335444925386,0.08419639624483977,0.13557638345637985,0.10323172978046656,0.022328279156178688,0.049030749821789676,0.12362824015211364,0.09616612077749423,0.1298810401470082,0.10336059982313026,0.025165811023933744,0.13814318723478566,0.026995269493797887,0.04775576274218182,0.15620179809340412,0.08722748754029398,0.08881441145107667,0.08722748753813755,0.0654790689586093,0.20976122099024588,0.12341352526387626,0.06591861040218727,0.01780877567362549,0.15340925114795254,0.002473437090041176,0.16561349486771282,0.11452666555171573,0.1098537969608024,0.0578708806358446,0.17218009773385168,0.1719150201567935,0.1707894017817348,0.061729861975764605,0.12717052261662495,0.10574322949754866,0.14246958480733443,0.16054992976836316,0.17202178004168422,0.1453728632947356,0.01626762665707698,0.0006714272354930554,0.23842516131931427,0.06019111856610818,0.024288502662404583,0.08592997634572656,0.1786946192846225,0.06673640865543651,0.2803165593897678,0.2807888166845586,0.17164768913017608,0.10066830070485731,0.1414080854090992,0.06990408949174064,0.15620167288269443,0.015818923538483163,0.04112449083109391,0.06892309013448937,0.07034214912976858,0.013075454492317947,0.05354159887118336,0.04297962184280984,0.05750135003564503,0.11047865735957392,0.04622815909788743,0.2104024245238767
2,0.13256462572447658,0.13512617062452104,0.15482875183552824,0.23727753197714163,0.019307920378819787,0.004807708177236469,0.008959326154102665,0.07956968681439824,0.012731222252458166,0.01520555782151943,0.09798376607554418,0.06724279150646309,0.0028778011372696203,0.01661613551890472,0.009372941994194731,0.044098194459253816,0.04135440582982112,0.04597856795944858,0.012052355657307133,0.014015803621923438,0.0319579436331853,0.014015803615584957,0.08755167718145512,0.06700840136392965,0.03142925281279946,0.11079640526988203,0.1434088823275058,0.06405156352611138,0.18697447843939333,0.013990123473872075,0.038824698616996715,0.03372594990528585,0.05336128958926579,0.13989890025816526,0.14284157100126735,0.1426962742411361,0.11286295554830021,0.0032746198696388456,0.12922770653244925,0.012013697513036761,0.010070203032190125,0.025134082732272307,0.009673362905215732,0.04748620220597351,0.0035443902857597853,0.16493542159648072,0.07929374429571251,0.006878389093215469,0.10172783575739158,0.09834739091026413,0.03743265838656236,0.14847034724569536,0.14773378521880892,0.1418331434543415,0.023134085960970795,0.0005984796629530799,0.35964474963186327,0.012048510888868226,0.20617458495651061,0.06996236220434138,0.3762402725166857,0.3732152833273606,0.09861986498339113,0.03240938875157137,0.20652770051575184,0.024223771543777802,0.026674799037562272,0.18645644983936663,0.06631008465150108
3,0.0757429362632517,0.08262191376026107,0.1133559084263107,0.10436383345836076,0.1500280094889162,0.03402583117559743,0.0004145963103214523,0.10475186336882158,0.015786284768242065,0.0157422990439966,0.012532630535446398,0.07735871240804318,0.06382457545081473,0.07031248160854463,0.024107278287904037,0.032331403930024614,0.06470568600136618,0.023807742890239684,0.053061663065145516,0.02258295365674595,0.008900998048758971,0.022582953656473677,0.12976924228272754,0.007153361677537897,0.21090419567579205,0.0539922902565984,0.12478569386274783,0.031181695751323218,0.3628248459060558,0.061214023997157446,0.10478389930476478,0.09360801903470814,0.03646301271711672,0.15072806857792306,0.14418938575887189,0.14793280232968242,0.39523577661248777,0.03885521825101874,0.3420591730494227,0.06388783822234251,0.05059546832087884,0.05112521616214566,0.04824031383631178,0.005999670999236595,0.00375444875461204,0.027560578856956557,0.04576183458217919,0.023768364870887553,0.06099130295289047,0.05864223388900193,0.11950866286205639,0.057501486084955464,0.05763196672672,0.14763507205257373,0.13008079795254665,0.04033984286636816,0.07001676916977562,0.05306624999675734,0.05909702281534624,0.06730743747247975,0.1002507491693001,0.07235773820721794,0.010279465128238872,0.28243302969202994,0.3461442188450743,0.031938554504522515,0.10220776182307005,0.0005369089264653159,0.006800065067960419
4,0.10670460333791815,0.009878430449645426,0.0005178012053074499,0.10145386241908075,0.08286158093515322,0.22725127577244,0.16073943515646588,0.12971799828149516,0.02087683351884906,0.09193508202453149,0.003937746511352536,0.1639059503006983,0.05029728116607614,0.20449873901218632,0.029212466124985667,0.06747930792557211,0.00542333129212816,0.0522988761216914,0.11121783149901135,0.19717902846299973,0.16289125990030925,0.19717902846492377,0.056382143130135294,0.006161559117695519,0.054235821172815724,0.21222316419298878,0.15805925171592677,0.17114891539466226,0.04347486195298726,0.13632509894584868,0.14197616779982575,0.13332263341433748,0.00035877737394796137,0.038816586351912215,0.039297328436777856,0.03923547163656848,0.1489936788489435,0.11898664828400853,0.17281146911588355,0.12191827995998661,0.09885229366454121,0.11014022239269948,0.10864675667311614,0.05340140119150069,0.0026750417773468036,0.19720411320465933,0.00380958786181457,0.03197657414490251,0.11375107039542925,0.11183931708401172,0.1629586811626991,0.15569430734573905,0.15587879086895928,0.03912303877258309,0.18276210311612168,0.08423454965240569,0.021167847398059585,0.11121289752563278,0.0508484753295127,0.025419103115253413,0.013594346995333927,0.015392183596338618,0.1533242460763114,0.20674245986921452,0.016538002079210967,0.2907637884661512,0.13986377785298004,0.12788360099947613,0.005388342277732459
