psn,timestamp,consensus_ensemble
41,2017-08-12 16:10:00,True
41,2017-08-15 12:30:00,True
41,2017-08-17 15:00:00,True
41,2017-08-17 19:00:00,True
41,2017-08-22 09:10:00,True
41,2017-08-22 10:00:00,True
41,2017-08-22 21:20:00,True
41,2017-08-23 08:10:00,True
41,2017-08-23 08:30:00,True
41,2017-08-23 17:10:00,True
41,2017-08-28 07:40:00,True
41,2017-08-28 08:00:00,True
41,2017-08-28 13:40:00,True
41,2017-09-01 15:30:00,True
41,2017-09-06 13:50:00,True
41,2017-09-10 09:30:00,True
41,2017-09-17 20:50:00,True
41,2017-09-19 09:00:00,True
41,2017-09-19 13:10:00,True
41,2017-09-19 13:20:00,True
41,2017-09-21 05:20:00,True
41,2017-09-21 05:30:00,True
41,2017-09-22 08:10:00,True
41,2017-09-27 08:10:00,True
41,2017-09-27 15:50:00,True
41,2017-09-30 09:40:00,True
41,2017-10-01 14:30:00,True
41,2017-10-01 14:40:00,True
41,2017-10-03 09:00:00,True
41,2017-10-03 17:40:00,True
41,2017-10-03 18:40:00,True
41,2017-10-05 03:30:00,True
41,2017-10-17 04:10:00,True
41,2017-10-19 06:30:00,True
41,2017-10-19 09:30:00,True
41,2017-10-19 09:50:00,True
41,2017-10-19 10:00:00,True
41,2017-10-19 10:10:00,True
41,2017-10-19 10:50:00,True
41,2017-10-19 14:30:00,True
41,2017-10-19 15:10:00,True
41,2017-10-24 08:10:00,True
41,2017-10-24 13:00:00,True
41,2017-10-24 13:50:00,True
41,2017-10-24 17:50:00,True
41,2017-11-03 07:20:00,True
41,2017-11-04 12:00:00,True
41,2017-11-05 07:20:00,True
41,2017-11-05 07:30:00,True
41,2017-11-05 15:00:00,True
41,2017-11-06 06:50:00,True
41,2017-11-07 22:50:00,True
41,2017-11-09 18:50:00,True
41,2017-11-09 19:00:00,True
41,2017-11-09 19:10:00,True
41,2017-11-12 05:30:00,True
41,2017-11-12 08:40:00,True
41,2017-11-14 00:20:00,True
41,2017-11-14 00:30:00,True
41,2017-11-14 03:00:00,True
41,2017-11-14 03:10:00,True
41,2017-11-14 07:40:00,True
41,2017-11-14 08:00:00,True
41,2017-11-14 08:10:00,True
41,2017-11-27 10:00:00,True
41,2017-11-27 16:40:00,True
41,2017-12-01 08:40:00,True
41,2017-12-03 11:40:00,True
