psn,cluster_label,percent,minutes
41,1,0.0006462870807212563,200
41,2,0.02087507270729658,6460
41,3,0.10295353195889614,31860
41,5,0.44005687326310344,136180
41,6,0.0025205196148129,780
41,9,0.11413429845537387,35320
41,13,0.00045240095650487947,140
41,14,0.00458863827312092,1420
41,15,0.008854133005881212,2740
41,16,0.18916822852711174,58540
41,17,0.07038066309054482,21780
41,18,0.03541653202352485,10960
41,19,0.004330123440832417,1340
41,22,0.00025851483228850255,80
41,23,0.001227945453370387,380
41,24,0.004136237316616041,1280
