psn,cluster_label,percent,minutes
69,1,0.0015564202334630351,400
69,2,0.0005447470817120623,140
69,3,0.01992217898832685,5120
69,4,0.2443579766536965,62800
69,5,0.003346303501945525,860
69,6,0.0008560311284046692,220
69,7,0.11906614785992217,30600
69,9,0.0001556420233463035,40
69,10,0.014085603112840466,3620
69,13,0.0005447470817120623,140
69,14,0.0014007782101167316,360
69,15,0.0003891050583657588,100
69,16,0.008093385214007782,2080
69,17,0.0003891050583657588,100
69,18,0.002101167315175097,540
69,19,0.0003891050583657588,100
69,20,0.19556420233463034,50260
69,21,0.3582879377431907,92080
69,22,0.00023346303501945524,60
69,24,0.028715953307392995,7380
