psn,timestamp,kink_finder_label
41,2017-10-01 14:20:00,1.0
41,2017-10-01 14:30:00,1.0
41,2017-10-01 14:40:00,1.0
41,2017-10-01 14:50:00,1.0
41,2017-10-03 08:50:00,1.0
41,2017-10-03 09:00:00,1.0
41,2017-10-03 18:40:00,1.0
41,2017-10-03 18:50:00,1.0
41,2017-10-03 20:30:00,1.0
41,2017-10-03 20:40:00,1.0
41,2017-10-05 03:20:00,1.0
41,2017-10-05 03:30:00,1.0
41,2017-10-06 16:00:00,1.0
41,2017-10-06 16:10:00,1.0
41,2017-10-17 04:00:00,1.0
41,2017-10-17 04:10:00,1.0
41,2017-10-17 09:00:00,1.0
41,2017-10-17 09:10:00,1.0
41,2017-10-19 06:20:00,1.0
41,2017-10-19 06:30:00,1.0
41,2017-10-19 09:20:00,1.0
41,2017-10-19 09:30:00,1.0
41,2017-10-19 09:30:00,1.0
41,2017-10-19 09:40:00,1.0
41,2017-10-19 09:40:00,1.0
41,2017-10-19 09:50:00,1.0
41,2017-10-19 09:50:00,1.0
41,2017-10-19 10:00:00,1.0
41,2017-10-19 10:00:00,1.0
41,2017-10-19 10:10:00,1.0
41,2017-10-19 10:10:00,1.0
41,2017-10-19 10:20:00,1.0
41,2017-10-19 10:40:00,1.0
41,2017-10-19 10:50:00,1.0
41,2017-10-19 14:10:00,1.0
41,2017-10-19 14:20:00,1.0
41,2017-10-19 14:30:00,1.0
41,2017-10-19 14:40:00,1.0
41,2017-10-19 14:50:00,1.0
41,2017-10-19 15:00:00,1.0
41,2017-10-19 15:00:00,1.0
41,2017-10-19 15:10:00,1.0
41,2017-10-20 02:00:00,1.0
41,2017-10-20 02:10:00,1.0
41,2017-10-20 09:10:00,1.0
41,2017-10-20 09:20:00,1.0
41,2017-10-24 08:00:00,1.0
41,2017-10-24 08:10:00,1.0
41,2017-10-24 08:10:00,1.0
41,2017-10-24 08:20:00,1.0
41,2017-10-24 12:50:00,1.0
41,2017-10-24 13:00:00,1.0
41,2017-10-24 13:40:00,1.0
41,2017-10-24 13:50:00,1.0
41,2017-10-24 17:40:00,1.0
41,2017-10-24 17:50:00,1.0
41,2017-10-24 20:10:00,1.0
41,2017-10-24 20:20:00,1.0
41,2017-11-03 07:10:00,1.0
41,2017-11-03 07:20:00,1.0
41,2017-11-03 08:20:00,1.0
41,2017-11-03 08:30:00,1.0
41,2017-11-04 11:50:00,1.0
41,2017-11-04 12:00:00,1.0
41,2017-11-04 12:00:00,1.0
41,2017-11-04 12:10:00,1.0
41,2017-11-05 07:10:00,1.0
41,2017-11-05 07:20:00,1.0
41,2017-11-05 07:30:00,1.0
41,2017-11-05 07:40:00,1.0
41,2017-11-05 14:50:00,1.0
41,2017-11-05 15:00:00,1.0
41,2017-11-05 15:00:00,1.0
41,2017-11-05 15:10:00,1.0
41,2017-11-06 06:40:00,1.0
41,2017-11-06 06:50:00,1.0
41,2017-11-06 06:50:00,1.0
41,2017-11-06 07:00:00,1.0
41,2017-11-07 22:40:00,1.0
41,2017-11-07 22:50:00,1.0
41,2017-11-07 22:50:00,1.0
41,2017-11-07 23:00:00,1.0
41,2017-11-09 18:40:00,1.0
41,2017-11-09 18:50:00,1.0
41,2017-11-09 19:10:00,1.0
41,2017-11-09 19:20:00,1.0
41,2017-11-10 08:30:00,1.0
41,2017-11-10 08:40:00,1.0
41,2017-11-10 08:40:00,1.0
41,2017-11-10 08:50:00,1.0
41,2017-11-12 05:20:00,1.0
41,2017-11-12 05:30:00,1.0
41,2017-11-12 08:00:00,1.0
41,2017-11-12 08:10:00,1.0
41,2017-11-12 08:20:00,1.0
41,2017-11-12 08:30:00,1.0
41,2017-11-12 08:30:00,1.0
41,2017-11-12 08:40:00,1.0
41,2017-11-12 10:00:00,1.0
41,2017-11-12 10:10:00,1.0
41,2017-11-12 10:40:00,1.0
41,2017-11-12 10:50:00,1.0
41,2017-11-14 00:10:00,1.0
41,2017-11-14 00:20:00,1.0
41,2017-11-14 00:20:00,1.0
41,2017-11-14 00:30:00,1.0
41,2017-11-14 02:50:00,1.0
41,2017-11-14 03:00:00,1.0
41,2017-11-14 03:00:00,1.0
41,2017-11-14 03:10:00,1.0
41,2017-11-14 07:30:00,1.0
41,2017-11-14 07:40:00,1.0
41,2017-11-14 08:00:00,1.0
41,2017-11-14 08:10:00,1.0
41,2017-11-27 09:50:00,1.0
41,2017-11-27 10:00:00,1.0
41,2017-11-27 16:40:00,1.0
41,2017-11-27 16:50:00,1.0
41,2017-11-27 17:20:00,1.0
41,2017-11-27 17:30:00,1.0
41,2017-12-01 08:30:00,1.0
41,2017-12-01 08:40:00,1.0
41,2017-12-01 09:40:00,1.0
41,2017-12-01 09:50:00,1.0
41,2017-12-01 15:10:00,1.0
41,2017-12-01 15:20:00,1.0
41,2017-12-02 00:40:00,1.0
41,2017-12-02 00:50:00,1.0
41,2017-12-03 11:30:00,1.0
41,2017-12-03 11:40:00,1.0
