psn,34,35,36,37,38,39,40,41,42,45,46,47,48,49,50,51,53,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,71,72
57,34.0,12.0,7.0,4.0,8.0,11.0,20.0,19.0,28.0,5.0,16.0,17.0,33.0,32.0,14.0,15.0,3.0,30.0,6.0,1.0,9.0,2.0,23.0,18.0,24.0,13.0,26.0,25.0,29.0,27.0,31.0,10.0,22.0,21.0
58,34.0,3.0,4.0,6.0,22.0,16.0,19.0,18.0,10.0,2.0,14.0,15.0,32.0,31.0,12.0,13.0,7.0,33.0,30.0,17.0,1.0,24.0,21.0,20.0,23.0,11.0,27.0,26.0,29.0,28.0,25.0,8.0,9.0,5.0
59,34.0,12.0,10.0,5.0,9.0,7.0,19.0,20.0,30.0,6.0,16.0,17.0,33.0,32.0,14.0,15.0,4.0,28.0,3.0,2.0,11.0,1.0,22.0,18.0,23.0,13.0,26.0,25.0,29.0,27.0,31.0,8.0,21.0,24.0
60,34.0,25.0,22.0,17.0,15.0,12.0,2.0,9.0,30.0,18.0,4.0,5.0,28.0,29.0,7.0,6.0,14.0,33.0,32.0,26.0,21.0,27.0,1.0,3.0,11.0,8.0,19.0,16.0,23.0,20.0,31.0,10.0,13.0,24.0
61,34.0,25.0,22.0,16.0,15.0,12.0,3.0,9.0,30.0,18.0,2.0,7.0,29.0,28.0,5.0,4.0,14.0,33.0,32.0,26.0,20.0,27.0,8.0,1.0,11.0,6.0,19.0,17.0,24.0,21.0,31.0,10.0,13.0,23.0
62,34.0,24.0,21.0,16.0,15.0,12.0,8.0,10.0,30.0,18.0,5.0,7.0,28.0,26.0,4.0,3.0,14.0,33.0,32.0,27.0,20.0,29.0,11.0,2.0,1.0,6.0,19.0,17.0,25.0,22.0,31.0,9.0,13.0,23.0
63,34.0,24.0,21.0,16.0,15.0,10.0,8.0,7.0,28.0,18.0,4.0,5.0,31.0,30.0,2.0,3.0,13.0,33.0,32.0,26.0,20.0,27.0,12.0,9.0,14.0,1.0,19.0,17.0,25.0,22.0,29.0,6.0,11.0,23.0
64,22.0,27.0,25.0,14.0,20.0,16.0,8.0,5.0,23.0,21.0,9.0,7.0,32.0,31.0,10.0,11.0,18.0,34.0,33.0,29.0,24.0,30.0,15.0,12.0,19.0,6.0,1.0,4.0,3.0,2.0,28.0,13.0,17.0,26.0
65,26.0,27.0,25.0,15.0,20.0,17.0,11.0,3.0,22.0,21.0,8.0,7.0,32.0,31.0,9.0,10.0,18.0,34.0,33.0,29.0,24.0,30.0,16.0,12.0,19.0,6.0,2.0,1.0,5.0,4.0,23.0,13.0,14.0,28.0
66,16.0,28.0,26.0,14.0,21.0,17.0,7.0,5.0,23.0,22.0,8.0,11.0,32.0,31.0,9.0,10.0,20.0,34.0,33.0,29.0,24.0,30.0,15.0,12.0,19.0,6.0,3.0,4.0,1.0,2.0,25.0,13.0,18.0,27.0
67,21.0,27.0,25.0,14.0,20.0,16.0,9.0,5.0,24.0,22.0,8.0,7.0,32.0,31.0,10.0,11.0,19.0,34.0,33.0,29.0,23.0,30.0,15.0,12.0,18.0,6.0,2.0,4.0,3.0,1.0,28.0,13.0,17.0,26.0
68,28.0,5.0,7.0,4.0,27.0,22.0,19.0,11.0,2.0,9.0,17.0,18.0,32.0,31.0,15.0,16.0,14.0,34.0,33.0,29.0,8.0,30.0,23.0,20.0,25.0,13.0,21.0,6.0,24.0,26.0,1.0,12.0,3.0,10.0
69,34.0,21.0,20.0,14.0,17.0,11.0,9.0,7.0,28.0,16.0,5.0,6.0,32.0,30.0,3.0,4.0,10.0,33.0,31.0,24.0,19.0,27.0,13.0,8.0,15.0,2.0,23.0,18.0,26.0,25.0,29.0,1.0,12.0,22.0
71,34.0,19.0,20.0,11.0,17.0,13.0,9.0,8.0,25.0,16.0,5.0,7.0,31.0,30.0,3.0,4.0,12.0,33.0,32.0,28.0,21.0,29.0,14.0,10.0,15.0,2.0,24.0,18.0,27.0,26.0,23.0,6.0,1.0,22.0
72,34.0,2.0,4.0,6.0,22.0,19.0,17.0,18.0,7.0,5.0,14.0,15.0,32.0,30.0,12.0,13.0,8.0,33.0,31.0,23.0,3.0,27.0,20.0,16.0,21.0,11.0,26.0,25.0,29.0,28.0,24.0,9.0,10.0,1.0
